STATISTIC,Statistic Label,TLIST(A1),Graduation Year,C03143V03795,Fields of Education and Training,C03433V04141,Years since Graduation,C03544V04280,Graduate Outcomes,C03919V04671,Gender,UNIT,VALUE
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,1,Employment only,10,Male,Number,65
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,1,Employment only,20,Female,Number,105
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,1,Employment only,-,All genders,Number,170
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,2,Employment and Education,10,Male,Number,35
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,2,Employment and Education,20,Female,Number,60
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,2,Employment and Education,-,All genders,Number,95
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,3,Education only,10,Male,Number,0
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,3,Education only,20,Female,Number,0
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,3,Education only,-,All genders,Number,0
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,4,Neither Employment nor Education,10,Male,Number,0
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,4,Neither Employment nor Education,20,Female,Number,0
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,4,Neither Employment nor Education,-,All genders,Number,0
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,5,Not Captured,10,Male,Number,0
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,5,Not Captured,20,Female,Number,0
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,5,Not Captured,-,All genders,Number,0
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,-,All Graduate Outcomes,10,Male,Number,100
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,-,All Graduate Outcomes,20,Female,Number,165
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,1,1,-,All Graduate Outcomes,-,All genders,Number,265
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,2,2,1,Employment only,10,Male,Number,65
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,2,2,1,Employment only,20,Female,Number,120
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,2,2,1,Employment only,-,All genders,Number,185
HGO03C01,Number of Health Graduates,2010,2010,912,Medicine,2,2,2,Employment and Education,10,Male,Number,15
